	D1_01DEC	D1_24JUN19	D1_01OCT20	D1_06JAN20	D1_07OCT20	D1_09SEP20	D1_11AUG20	D1_14SEP20	D1_16JUN20	D1_16NOV21	D1_24SEP20	D1_28JAN20	D1_28SEP20	D1_30NOV21	D2_02MAR21	D2_03FEB21	D2_06DEC19	D2_08JUL21	D2_09SEP21	D2_12MAY21	D2_15JUN21	D2_16FEB21	D2_16SEP20	D2_19JAN21	D2_22JUN21	D2_27JUL21	D2_27JUN19	D2_29OCT20	D3_26AUG19	D4_07JAN20	D5_02SEP21	D5_03MAY21	D5_14JUL21	D5_14SEP21	D5_15DEC20	D5_15JUN21	D5_18AUG21	D5_20OCT21	D5_22SEP20	D5_22SEP21	D5_23OCT20	D5_23SEP21	D5_24MAR21	D5_24NOV21	D5_25FEB21	D5_27JUL21	D5_29JUL21	D5_30JUN21	D5_9DEC21	L623_P1_S1	L623_P1_S2	L623_P1_S3	L623_P1_S4	L623_P2_S1	L623_P2_S2	L623_P2_S3	L623_P2_S4	L623_P3_S1	L623_P3_S2	L623_P3_S3	L623_P3_S4	L623_P4_S1	L623_P4_S2	L623_P4_S3	L623_P4_S4	L623_P5_S1	L623_P5_S2	L623_P5_S3	L623_P5_S4	L623_P8_S1	L623_P8_S2	L623_P8_S3	L623_P8_S4	L802_P1_S1	L802_P1_S2	L802_P1_S3	L802_P1_S4	L802_P2_S1	L802_P2_S2	L802_P2_S3	L802_P2_S4	L802_P3_S1	L802_P3_S2	L802_P3_S3	L802_P3_S4	L802_P4_S1	L802_P4_S2	L802_P4_S3	L802_P4_S4	L802_P5_S1	L802_P5_S2	L802_P5_S3	L802_P5_S4	L803_P1_S1	L803_P1_S2	L803_P1_S3	L803_P1_S4	L803_P11_S1	L803_P11_S2	L803_P11_S3	L803_P11_S4	L803_P2_S1	L803_P2_S2	L803_P2_S3	L803_P2_S4	L803_P3_S1	L803_P3_S2	L803_P3_S3	L803_P3_S4	L803_P4_S1	L803_P4_S2	L803_P4_S3	L803_P4_S4	L803_P5_S1	L803_P5_S2	L803_P5_S3	L803_P5_S4	L803_P7_S1	L803_P7_S2	L803_P7_S3	L803_P7_S4	L803_P8_S1	L803_P8_S2	L803_P8_S3	L803_P8_S4	taxonomy
SV_0	144	197	29	42	9	12	139	323	28	467	4	797	14	15	160	0	23	954	107	313	142	328	104	156	49	96	196	92	48	0	31	249	100	112	1272	0	24	13	38	69	485	174	66	45	115	37	147	59	137	43	9192	2394	30006	8106	978	28	38	482	38	38	452	109	138	97	308	56	463	183	88	197	8366	7677	145	0	2209	101	0	100	94	187	96	215	771	4671	1637	281	184	81	107	74	1004	69	620	672	930	770	1130	99	899	21	875	152	174	1227	394	373	171	3355	2010	992	1878	527	694	257	492	1061	1273	6512	3162	17190	3654	502	2845	209	1681	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia_coli
SV_1	0	94	4	50	40	145	17	22	0	25	4365	128	56	214	22	0	158	44	0	27	0	0	490	48	124	78	19	356	37	354	2496	660	6987	5406	26888	7789	6381	7351	5003	4729	2774	4651	6794	6170	18790	6340	2927	4617	5836	0	50	31	767	0	0	21	0	58	51	0	0	28	0	0	0	52	205	0	35	94	971	311	2861	0	851	5061	514	35	747	1352	2977	0	2037	701	611	483	63	50	116	230	1464	2196	3154	132	309	26	45	211	260	1512	40	73	55	1695	228	269	115	0	36	55	568	12	0	0	105	0	85	19	72	663	2281	227	1831	17	23	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri
SV_2	1206	144	734	2250	1263	1507	2234	814	1441	877	1141	1714	1186	1299	1563	1188	1831	2489	1309	1932	2228	1371	1289	1272	1678	1704	459	1615	777	3003	506	362	370	839	2690	354	405	560	1016	891	929	770	584	1198	2622	514	1214	810	772	47	178	387	17952	199	232	492	1374	68	183	168	261	143	78	911	186	980	1336	2755	2694	144	168	386	1048	242	460	1172	685	130	184	512	881	481	1094	485	665	1160	1115	1643	989	496	579	600	1230	85	312	60	150	83	71	93	125	788	1252	7972	872	128	76	70	73	84	369	303	795	0	253	117	127	146	125	690	1032	275	934	2033	1112	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium_prausnitzii
SV_3	2638	107	1116	1648	2327	1891	1070	1854	955	1708	1077	760	567	2096	602	696	941	612	324	711	1177	1178	993	345	1107	994	1162	880	190	1132	3400	5960	1757	1254	7358	784	344	1275	1186	1332	2910	960	720	1135	4080	1693	560	1034	2228	635	119	141	4081	133	0	92	809	1077	149	72	347	166	75	855	134	321	702	1003	660	107	834	560	1348	95	3132	3483	2727	1092	733	5438	952	509	515	346	765	205	194	108	143	1531	812	748	608	98	489	146	108	731	1885	1298	691	343	182	434	0	99	68	92	177	352	255	244	407	661	872	1577	944	43	277	187	536	268	662	867	541	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eubacterium;Eubacterium_rectale
SV_4	36	89	1	60	31	157	19	33	0	60	2919	103	30	185	0	0	124	44	25	0	27	0	366	26	127	0	14	278	35	252	1724	420	4630	3625	18764	4883	4198	5004	3320	3244	1902	3174	4287	3873	12716	4056	2003	3009	3836	0	39	43	526	0	0	22	13	39	46	42	78	23	0	0	0	41	155	49	0	89	658	222	1927	0	667	3149	308	0	511	926	1971	0	1408	479	397	1212	666	957	710	179	1061	1932	2179	129	240	26	0	148	172	971	0	80	35	1199	174	228	102	0	0	38	362	0	47	0	102	0	51	20	39	461	1691	185	1370	12	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri
SV_5	730	149	609	1512	912	760	1261	595	1313	723	364	868	769	465	1152	1651	1887	3488	2012	2033	2835	1798	2068	1652	2666	3672	1066	4378	139	755	349	456	279	554	2947	328	210	286	548	477	983	434	374	938	887	597	605	389	469	193	201	501	14548	90	89	230	682	174	369	682	358	102	89	686	157	273	1208	840	593	149	132	177	456	179	243	607	606	2080	2376	491	860	342	555	257	546	734	565	1169	604	1093	1175	490	1025	80	259	47	123	70	0	0	155	391	1022	2728	221	52	58	0	97	79	548	179	725	295	463	266	466	135	244	923	530	198	698	837	957	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium_prausnitzii
SV_6	400	51	310	79	780	400	837	217	815	580	579	279	156	643	47	0	0	30	22	14	53	19	100	6	19	62	41	162	0	93	1592	2390	802	2182	6775	2036	1062	589	760	1215	1454	776	1840	4397	3283	2721	1459	2652	2262	33	92	31	368	0	8	15	0	98	28	18	19	14	24	368	615	6	497	866	363	51	1046	237	946	30	855	1720	1620	39	1186	1897	1462	0	826	810	1003	58	27	44	35	152	589	419	341	37	625	40	70	88	263	426	1956	46	488	2984	288	35	25	27	22	28	68	26	46	31	50	54	52	57	66	95	287	18	238	0	0	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium_UNKNOWN1084
SV_7	677	96	282	702	572	172	513	91	1119	1079	259	1378	106	762	1568	1612	1585	4315	2357	3657	1239	1789	1898	823	694	1744	1100	1165	324	57	1079	166	327	496	6508	167	331	463	127	2325	124	313	261	173	683	203	233	73	193	34	75	111	231	127	183	122	1038	0	218	0	19	0	0	89	76	0	736	1206	1322	96	1248	419	279	660	2982	1787	554	55	86	119	34	78	120	121	71	34	38	28	17	288	50	101	202	34	218	24	111	54	0	44	89	113	0	207	0	78	61	34	37	51	584	30	126	70	529	145	395	47	0	77	156	64	668	109	119	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_adolescentis
SV_8	276	64	374	820	521	1179	756	560	717	309	445	457	765	591	710	1222	634	1723	1139	907	1747	2009	1046	799	1486	766	1140	1321	245	965	541	473	212	290	3253	104	187	419	495	334	405	272	276	559	1317	312	327	292	296	445	118	117	4420	80	38	295	662	1549	275	166	729	78	83	156	135	268	184	243	336	64	605	930	192	99	91	186	130	69	69	94	262	245	165	165	64	313	219	194	705	530	548	384	711	51	99	54	51	63	31	47	72	207	164	1202	168	60	0	50	51	321	259	89	234	223	152	41	51	127	410	294	312	126	556	1485	2439	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium_prausnitzii
SV_9	121	82	188	232	296	295	435	167	581	172	510	243	254	213	237	401	2226	1129	449	333	440	281	1758	257	562	1364	2089	2600	261	924	1089	701	354	453	4158	220	345	393	419	554	1211	466	316	1046	1895	433	353	681	616	204	86	181	551	96	53	162	743	704	894	236	1001	677	543	277	110	242	589	571	270	82	944	112	144	859	294	372	411	45	80	258	409	111	572	518	952	365	73	151	133	269	589	374	465	0	119	36	0	79	51	0	0	125	90	475	105	29	141	84	81	1104	135	545	589	983	718	136	677	42	64	100	181	111	254	343	940	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium_UNKNOWN1019
SV_10	430	85	643	426	283	350	573	263	711	244	319	659	320	393	293	247	425	307	216	261	477	297	484	269	310	542	259	374	788	835	370	501	111	283	937	123	121	148	341	300	393	263	214	524	592	222	561	286	160	232	102	845	6585	758	292	171	396	810	327	540	218	293	408	277	451	259	273	197	122	85	540	167	149	392	360	281	613	3024	590	1664	312	818	358	225	333	867	284	158	513	570	262	584	482	34	237	29	27	314	309	162	550	680	846	1578	307	212	147	149	153	154	309	105	466	300	56	405	303	198	153	314	218	294	533	892	330	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia_wexlerae
SV_11	107	47	188	202	188	273	136	229	116	193	19	186	241	229	433	412	230	214	986	570	1318	594	657	562	775	674	425	672	155	62	0	54	38	0	74	109	19	0	40	0	0	0	73	0	0	78	0	30	0	20	38	166	1714	91	49	219	544	221	88	56	72	922	368	447	189	560	107	71	272	47	148	83	71	3084	78	85	347	77	0	54	0	412	285	76	47	26	53	0	56	179	33	40	192	3167	745	557	823	61	71	19	0	60	0	100	0	201	693	515	1866	99	285	59	381	487	1229	298	549	786	7354	1547	813	38	252	1549	2020	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola_vulgatus
SV_12	0	33	0	0	0	50	0	0	0	0	1379	38	0	63	0	0	49	0	0	0	0	0	163	21	35	0	0	99	0	96	729	204	1918	1574	8673	2262	1849	2183	1494	1398	827	1477	1830	1698	5751	1796	935	1365	1640	0	18	0	201	0	0	0	0	16	0	0	0	0	0	0	0	20	81	0	0	33	305	103	876	0	253	1431	142	0	231	389	860	0	644	214	162	152	16	0	29	69	494	938	1110	47	91	0	0	74	75	443	0	0	13	519	73	78	31	0	0	34	155	0	0	0	32	0	32	12	19	179	637	65	541	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri
SV_13	5	13	14	12	153	117	39	67	23	27	786	66	49	117	0	0	10	15	4	0	0	0	114	0	0	9	11	26	0	86	675	118	1059	1004	15318	1181	628	433	1419	723	1971	909	1155	722	1947	980	1181	1500	1013	0	43	0	97	4	0	9	0	83	3	0	7	56	0	0	145	0	27	6	0	13	98	349	105	451	97	109	442	0	11	175	167	0	46	49	16	85	43	128	155	31	0	20	57	14	11	20	0	20	105	359	15	57	6	829	180	19	24	5	0	0	36	0	12	0	21	0	16	1266	6232	1025	3100	16	146	9	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas_UNKNOWN13
SV_14	382	65	172	516	176	232	245	158	126	314	354	427	189	508	746	430	697	1051	918	760	812	646	660	517	812	949	536	1262	2003	238	404	1352	186	380	2280	138	226	182	402	344	460	298	289	398	1248	255	525	484	387	228	312	385	2324	1801	123	775	342	1032	459	244	771	0	36	146	79	230	352	102	53	65	268	100	140	222	633	213	366	27	62	268	163	57	116	247	243	37	84	33	29	87	91	101	150	0	127	0	23	66	28	23	56	725	727	1738	287	0	0	18	63	109	125	75	157	0	57	41	37	49	137	127	189	108	161	376	773	Bacteria;Firmicutes;Clostridia;Eubacteriales;UNKNOWN2977;Gemmiger;Gemmiger_formicilis
SV_15	57	0	0	0	0	0	0	0	0	36	18	0	50	0	44	58	0	0	0	69	11	5	19	0	8	0	0	0	0	721	9	7	0	18	563	0	0	0	19	0	19	0	0	0	87	0	53	0	8	63	104	77	3874	9	34	20	0	11	95	49	0	719	64	323	171	0	0	0	163	0	14	0	0	265	20	71	38	0	28	111	54	317	97	183	27	40	275	29	7	537	310	499	557	0	96	10	34	0	0	0	55	3525	1604	25287	2365	0	11	0	0	270	166	244	33	58	1644	2014	170	29	37	162	23	12	349	324	66	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eubacterium;Eubacterium_siraeum
SV_16	0	0	23	0	0	39	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_simiae
SV_17	3	21	0	9	7	14	11	0	0	38	1357	17	9	23	0	0	19	5	0	0	0	0	56	0	9	0	4	31	15	27	745	217	954	1122	5338	813	1216	624	1497	259	720	513	854	1382	3818	1257	883	851	1031	0	7	22	108	10	0	11	0	21	0	0	12	17	0	0	0	0	53	7	5	21	2214	201	705	0	589	362	154	0	2776	985	1837	0	824	297	1910	21	0	45	10	59	1769	1604	1526	19	54	10	8	11	42	1776	47	10	3	218	106	28	13	0	4	24	91	13	3	5	11	0	11	20	15	31	174	43	200	9	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;UNKNOWN17;UNKNOWN17_UNKNOWN17
SV_18	217	50	251	463	378	403	812	312	503	286	261	784	327	486	494	475	1141	417	371	704	688	670	597	574	745	714	571	700	1614	119	259	465	116	243	1135	172	130	212	256	364	237	257	213	325	576	227	441	268	145	116	110	139	1531	62	72	244	241	1098	677	254	102	72	43	227	95	346	422	656	414	50	507	139	285	60	67	167	149	62	82	139	140	100	145	192	152	661	901	392	537	381	256	184	330	32	90	45	29	218	343	224	90	447	719	582	151	29	53	34	80	177	231	187	319	332	134	134	111	41	145	130	137	170	274	926	499	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter_saccharivorans
